"code","name","description"
"CO","CORE","Программно-аппаратные компоненты, обеспечивающие базовые системные сервисы для всех остальных классов систем."
"MC","Mission Critical","Системы, позволяющие Обществу выполнять свои базовые функции, невозможность осуществления которых в течение суток приводит к закрытию Общества."
"BC","Business Critical","Системы, обеспечивающие поддержку различных бизнесов Общества. Недоступность этих систем в течение суток приводит к прямым финансовым потерям, потерям в результате упущенной выгоды и потерям, связанным с ущербом имиджу Общества."
"BO","Business Operational","Системы, обеспечивающие поддержку различных бизнесов Общества. Недоступность этих систем в течение 1 суток не приводит к существенным финансовым потерям"
"OP","Office Productivity","Офисные приложения, обеспечивающие эффективную работу персонала Общества."
"TE","TEST","Тестовые среды"
