"code","name","description"
"DT","Disaster Tolerance","Наряду с защитой от сбоев в пределах основного ЦОД (FT), обеспечивает полное дублирование оборудования на удаленной площадке и автоматическое восстановление работоспособности АИС в резервном ЦОД (автоматическое переключение на резервное оборудование)"
"DR","Disaster Recovery","Обеспечивает полное дублирование оборудования на удаленной площадке и ручное восстановление работоспособности АИС в резервном ЦОД (ручное переключение на резервное оборудование)"
"FT","Fault Tolerance","Обеспечивает полное дублирование оборудования в пределах основного ЦОД и автоматическое восстановление работоспособности ИТ-системы (автоматическое переключение на резервное оборудование)"
"HA","High Availability","Обеспечивает частичное дублирование оборудования (без дублирования системы хранения данных) в пределах основного ЦОД и автоматическое и(или) ручное восстановление работоспособности ИТ-системы (автоматическое и(или) ручное переключение на резервное оборудование)"
"NA","Не обрабатывает отказы","Система не обеспечивает обработку отказов компонентов с помощью автоматических или ручных процедур перехода на резерв. Система может быть приведена в работоспособное состояние путем физической замены нерезервированных компонентов."
