code,name,description,color
idea,Идея,Зафиксирована потребность/гипотеза; артефакт на стадии инициативы.,#F1C40F
planned,Запланировано,Утверждено к реализации; есть план/бэклог.,#F1C40F
in_progress,В разработке,Реализация ведется; возможны частичные поставки.,#F39C12
pilot,Пилот/опытная эксплуатация,Ограниченное использование для проверки гипотез/стабильности.,#1ABC9C
active,Эксплуатируется,Используется в продакшене; поддерживается регламентно.,#2ECC71
maintenance,На поддержке,Функциональность стабилизирована; изменения минимальны.,#2ECC71
deprecated,Устаревает (deprecated),Не рекомендуется к использованию; есть замена/план вывода.,#F39C12
retiring,На выводе,В процессе вывода из эксплуатации/миграции.,#E74C3C
retired,Выведено,Эксплуатация прекращена; артефакт архивирован.,#C0392B
