"code","name","description"
"NM","Нет мониторинга","АИС, не подлежащая автоматическому мониторингу"
"PI","Жива/Не жива","АИС, компоненты которой автоматически мониторятся на предмет физической доступности по сети (ping)"
"FM","Доступна для пользователей","АИС является объектом комплексного автоматического мониторинга, способного с минимальной задержкой определить недоступность системы для конечного пользователя и предпринять корректирующие воздействия."
"SLA","Соответствует SLA","АИС, доступность и качество работы которой регулируется SLA."
"CM","Особенные условия мониторинга","АИС, для мониторинга которой применяются нестандартные средства, требующие привлечение сторонних специалистов."
