"code","name","description"
"RC1","Very High Speed","Системы, недоступность которых оказывает немедленное негативное влияние на способность Общества выполнять свои базовые функции."
"RC2","High Speed","Системы, недоступность которых оказывает немедленное негативное влияние на способность Общества получать доходы, или оказывает критическое влияние на эффективность работы большого количества сотрудников Общества."
"RC3","Medium Speed","Системы, недоступность которых влияет на невозможность получения доходов в долгосрочной перспективе, или существенно влияет на эффективность работы большого количества сотрудников Общества"
"RC4","Low Speed","Все остальные системы."
